image,person_tp,person_fp,person_fn,helmet_tp,helmet_fp,helmet_fn,vest_tp,vest_fp,vest_fn,no_helmet_tp,no_helmet_fp,no_helmet_fn
image1088.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image616.jpg,2,0,0,2,2,0,2,0,0,0,0,0
image1125.jpg,0,1,3,0,1,0,0,1,0,0,0,0
image160.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image190.jpg,1,0,1,1,0,0,1,0,0,0,0,0
image180.jpg,1,0,1,1,0,0,1,0,0,0,0,0
image935.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1330.jpg,1,0,0,0,0,0,0,0,0,0,1,1
image444.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image979.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image207.jpg,1,0,1,1,0,0,1,0,0,0,0,0
image1331.jpg,1,0,0,0,0,0,0,0,0,0,1,1
image459.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1231.jpg,2,0,0,0,0,0,0,0,0,2,0,0
image1145.jpg,3,3,5,0,0,0,0,0,0,0,0,3
image271.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image287.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image921.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1132.jpg,1,1,0,0,0,0,0,0,0,0,0,1
image484.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1009.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1239.jpg,3,0,0,0,0,0,0,0,0,0,0,3
image538.jpg,0,6,0,4,0,0,4,1,0,0,0,0
image633.jpg,1,0,0,1,0,1,1,0,0,0,0,0
image481.jpg,3,0,0,3,0,1,3,0,0,0,0,0
image1293.jpg,1,0,0,0,0,0,0,0,0,0,1,1
image905.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image140.jpg,2,0,0,2,0,0,2,0,0,0,0,0
image787.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1023.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image533.jpg,1,2,0,3,0,1,3,0,0,0,0,0
image40.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image612.jpg,4,1,0,4,1,0,5,0,0,0,0,0
image350.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1014.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1270.jpg,1,0,2,0,0,0,0,0,0,0,0,3
image423.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image116.jpg,3,1,1,4,0,0,2,1,2,0,0,0
image1089.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image585.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1076.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1229.jpg,1,0,0,0,0,0,0,0,0,0,0,1
image167.jpg,4,0,0,4,0,0,2,5,2,0,0,0
image1007.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image169.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1256.jpg,2,1,1,0,0,0,0,0,0,0,2,3
image796.jpg,6,1,0,9,3,1,3,1,0,0,0,0
image923.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image884.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image462.jpg,4,2,0,4,1,1,5,0,0,0,0,0
image922.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image257.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image296.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image910.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image718.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image708.jpg,1,0,0,0,0,0,1,0,0,0,0,0
image1111.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image987.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1306.jpg,2,0,0,0,0,0,0,0,0,0,2,2
image1133.jpg,1,0,0,0,0,0,0,0,0,0,1,1
image441.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image231.jpg,1,1,0,1,0,0,1,0,0,0,0,0
image550.jpg,1,0,0,1,0,0,1,1,0,0,0,0
image1406.jpg,1,0,0,0,1,0,0,0,0,0,0,0
image241.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image517.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1252.jpg,1,0,0,0,0,0,0,0,0,0,1,1
image324.jpg,4,0,2,3,1,0,6,0,0,0,0,0
image965.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image913.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1178.jpg,1,0,0,0,0,0,0,0,0,0,1,1
image611.jpg,5,0,0,5,0,0,5,0,0,0,0,0
image225.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1205.jpg,2,3,1,0,0,0,0,0,0,1,2,2
image460.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image502.jpg,0,1,0,1,0,0,1,0,0,0,0,0
